Sunday Monday Tuesday Wednesday Thursday Friday Saturday
Sondag Maandag Dinsdag Woensdag Donderdag Vrydag Saterdag
E_djele E_hene E_marte E_merkure E_enjte E_premte E_shtune
Ehud Segno Maksegno Erob Hamus Arbe Kedame
Al_Ahad Al_Ithinin Al_Tholatha'a Al_Arbia'a Al_Kamis Al_Gomia'a Al_Sabit

Guiragui Yergou_shapti Yerek_shapti Tchorek_shapti Hink_shapti Ourpat Shapat
domingu llunes martes miercoles xueves vienres sabadu
Bazar_gunu Birinci_gun Ckinci_gun Ucuncu_gun Doducu_gun Bes,inci_gun Altonco_gun
Igande Astelehen Astearte Ateazken Ostegun Osiral Larunbat
Robi_bar SHom_bar Mongal_bar Budhh_bar Brihashpati_bar Shukro_bar Shoni_bar
Nedjelja Ponedeljak Utorak Srijeda Cxetvrtak Petak Subota
Disul Dilun Dimeurzh Dimec'her Diiaou Digwener Disadorn
nelia ponedelnik vtornik sriada chetvartak petak sabota
sing_kei_yaht sing_key_yat sing_kei_yee sing_kei_saam sing_kei_sie sing_kei_ng sing_key_luk
Diumenge Diluluns Dimarts Dimecres Dijous Divendres Dissabte
Dzeenkk_eh Dzeehn_kk-ehreh Dzeehn_kk-ehreh_nah_kay_dzeeneh Tah_neese_dzeehn_neh Deehn_gee_dzee-neh Tl-oowey_tts-el_dehlee Dzeentt-ahzee
dy_Sul dy_Lun dy_Meurth dy_Mergher dy_You dy_Gwener dy_Sadorn
Dimanch Lendi Madi Mekredi Jedi Vandredi Samdi
nedjelja pnedjeljak utorak srijeda cxetvrtak petak subota
nede^le ponde^li utery str^eda c^tvrtek patek sobota
Sondee Mondee Tiisiday Walansedee Toosedee Feraadee Satadee
sOndag mandag tirsdag onsdag torsdag fredag lOrdag
zondag maandag disdag woensdag donderdag vijdag zaterrdag
Diman^co Londo Mardo Merkredo ^Jaudo Vendredo Sabato
puhapaev esmaspaev teisipaev kolmapaev neljapaev reede laupaev

Diu_prima Diu_squima Diu_tritima Diu_quartima Diu_quintima Diu_sextima Diu_sabbota
sunnidagur manadagur tysdaguy mikudagur hosdagur friggjadagur leygardagur
Yek_Sham'beh Do_Sham'beh Seh_Sham'beh Cha'har_Sham'beh Panj_Sham'beh Jom'eh Sham'beh
sunnuntai maanantai tiistai keskiviiko torsktai perjantai launtai
dimanche lundi mardi mercredi jeudi vendredi samedi
Domingo Segunda_feira Martes Mercores Joves Venres Sabado
k'vira orshabati samshabati otkhshabati khutshabati p'arask'evi shabati
