"Date (MM/DD/YYYY)","Category","Amount","Note"
"07/19/2019","Clothes","-134.0"," jacket Jack Wolfskin 55, Jeens cars new 36, chinos jeens 24, black pants by job 19."
"07/18/2019","Food","-14.58",""
"07/17/2019","Food","-10.24",""
"07/15/2019","Income","780.0","ower zrpl 15's July"
"07/15/2019","Food","-20.08",""
"07/14/2019","Food","-20.0","parfume BVLGARY wood essence"
"07/14/2019","Food","-1.31",""
"07/14/2019","Defence","-12.9","two big balls for boxing"
"07/14/2019","Consumables","-32.0","trimmer in ebay"
"07/13/2019","Food","-7.95",""
"07/13/2019","Bills","-3.29","gaz"
"07/13/2019","Bills","-34.85","kvrtpl in Rgch"
"07/12/2019","Food","-22.35",""
"07/10/2019","Food","-16.74",""
"07/08/2019","Food","-20.25",""
"07/07/2019","Fun","-10.0","Botanika Kupalle"
"07/05/2019","Food","-10.01",""
"07/04/2019","Food","-4.95",""
"07/03/2019","Food","-12.56",""
"07/03/2019","Consumables","-4.98","two zajigalka cricket"
"07/02/2019","Food","-12.46",""
"07/01/2019","Consumables","-9.76","soap Duru 8 pcs, window cleaner"
"07/01/2019","Food","-22.23",""
"06/30/2019","Income","304.0",""
"06/30/2019","Income","610.0",""
"06/30/2019","Bills","-165.0","Tatian's kvplt for July"
"06/30/2019","Bills","-1.0","internet bezlimit na shake 098"
"06/29/2019","Defence","-15.44","case for aamsung"
"06/29/2019","Work","-126.8","Samsung Galaxy A 50 first pay"
"06/27/2019","Food","-25.18",""
"06/26/2019","Consumables","-27.0","Bus card in July"
"06/26/2019","Consumables","-3.8","Strijka"
"06/25/2019","Income","200.0","kusok zrplt"
"06/24/2019","Food","-18.61",""
"06/21/2019","Food","-26.97",""
"06/19/2019","Income","156.0","avanseg"
"06/19/2019","Food","-13.22",""
"06/17/2019","Food","-11.36",""
"06/15/2019","Food","-19.68",""
"06/15/2019","Fun","-20.0","aqua di gio turkish fake"
"06/15/2019","Clothes","-52.0","jeans and polo shirt in second hand zebra"
"06/15/2019","Food","-7.56",""
"06/14/2019","Clothes","-30.0","I win in ebay aukcion about man trusers."
"06/14/2019","Med","-677.07","implant MegaGen"
"06/14/2019","Food","-15.56",""
"06/14/2019","Food","-4.69",""
"06/13/2019","Clothes","-30.0","shoulder bag in job, I don't know, it is expensive"
"06/13/2019","Bills","-29.95","kvrtplta in Rgchov"
"06/13/2019","Bills","-3.29","Gaz "
